scenarioId	ncbiTaxon	ncbiSpecies	ncbiAccession	pubmedAccession 	modName	experiment	tissue	condition	yield	ec	kegg	rhea	iubmb
s1	3702	Arabidopsis thaliana	ABO09887	15918888	alpha-barbatene	adult	PO|0009046|flower	none	side	none	none	none	none
s2	542674	Phyla dulcis	AFR23371	22867794	alpha-bergamotene	young	PO|0025034|leaf	none	main	4.2.3.54	none	30471	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/54.html
s3	542674	Phyla dulcis	AFR23372	22867794	alpha-bisabolol	young	PO|0025034|leaf	none	main	4.2.3.-	none	none	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/
s4	3702	Arabidopsis thaliana	ABO09887	15918888	alpha-chamigrene	adult	PO|0009046|flower	none	side	none	none	none	none
s5	542674	Phyla dulcis	AFR23368	22867794	alpha-copaene	young	PO|0025034|leaf	none	main	4.2.3.133	none	33991	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/133.html
s6	3702	Arabidopsis thaliana	AAO85539	15918888	alpha-copaene	adult	PO|0009046|flower	none	side	4.2.3.133	none	33991	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/133.html
s7	3702	Arabidopsis thaliana	ABO09887	15918888	alpha-cuprenene	adult	PO|0009046|flower	none	side	none	none	none	none
s8	4530	Oryza sativa	ABJ16553	17524436	alpha-curcumene	seedling	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	side	none	none	none	none
s9	3659	Cucumis sativus	AAU05951	15310834	alpha-farnesene	adult	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	main	none	none	none	none
s10	3880	Medicago truncatula	AAV36464	17924138	alpha-humulene 	adult	PO|0025034|leaf	PECO|0007115|Spodoptera spp. Exposure	side	4.2.3.104	R08373	31898	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/104.html
s11	127986	Matricaria chamomilla var. Recutita	AFM43734	22682202	alpha-humulene 	recombinant	none	none	side	4.2.3.104	R08373	31898	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/104.html
s12	4580	Zea perennis	ABY79214	18296628	alpha-humulene 	recombinant	none	none	side	4.2.3.104	R08373	31898	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/104.html
s13	76912	Zea mays subsp. parviglumis	ABY79213	18296628	alpha-humulene 	recombinant	none	none	side	4.2.3.104	R08373	31898	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/104.html
s14	4579	Zea mays subsp. mexicana	ABY79212	18296628	alpha-humulene 	recombinant	none	none	side	4.2.3.104	R08373	31898	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/104.html
s15	15945	Zea luxurians	ABY79211	18296628	alpha-humulene 	recombinant	none	none	side	4.2.3.104	R08373	31898	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/104.html
